ID_Operacion;Duracion_Horas;Tipo;Costo ($)
OP001;3,5;Traumatológica;2 910 051
OP002;1;Neurológica;3 270 018
OP003;1,5;Gástrica;1 840 015
OP004;1,5;Traumatológica;2 080 043
OP005;3,5;Vascular;3 800 018
OP006;1;Ginecológica;1 300 088
OP007;2,5;Coronaria;3 910 045
OP008;1;Traumatológica;1 790 038
OP009;1,5;Gástrica;1 650 060
OP010;3;Ginecológica;1 820 046
OP011;1;Vascular;2 230 049
OP012;1,5;Vascular;2 370 019
OP013;2,5;Gástrica;2 380 057
OP014;2,5;Ginecológica;1 820 070
OP015;2;Coronaria;3 850 097
OP016;4;Dérmica;1 440 021
OP017;3,5;Urológica;2 440 065
OP018;2;Neurológica;3 870 022
OP019;1,5;Gástrica;1 650 071
OP020;4;Oftalmológica;1 640 078
OP021;1;Traumatológica;1 730 011
OP022;2,5;Traumatológica;2 300 016
OP023;2;Oftalmológica;1 170 081
OP024;3;Neurológica;4 440 092
OP025;4;Coronaria;4 950 000
OP026;3,5;Otorrinolaringológica;1 730 078
OP027;3;Traumatológica;2 530 038
OP028;2,5;Traumatológica;2 350 088
OP029;3;Neurológica;4 470 091
OP030;4;Ginecológica;2 200 083
OP031;4;Oftalmológica;1 600 003
OP032;3;Gástrica;2 340 087
OP033;3,5;Traumatológica;3 120 013
OP034;1;Gástrica;1 520 033
OP035;4;Neurológica;5 420 055
OP036;1;Gástrica;1 600 021
OP037;4;Traumatológica;2 960 061
OP038;2,5;Neurológica;4 340 020
OP039;2,5;Oftalmológica;1 200 057
OP040;1,5;Oftalmológica;1 010 049
OP041;2;Gástrica;2 080 016
OP042;3,5;Neurológica;5 010 053
OP043;3,5;Traumatológica;3 030 035
OP044;3;Dérmica;1 220 029
OP045;3;Gástrica;2 410 074
OP046;1,5;Otorrinolaringológica;1 300 035
OP047;2,5;Neurológica;4 110 035
OP048;3,5;Vascular;3 520 071
OP049;1,5;Oftalmológica;1 030 041
OP050;4;Coronaria;4 890 100
OP051;1,5;Coronaria;3 320 014
OP052;4;Oftalmológica;1 590 056
OP053;2,5;Neurológica;4 660 019
OP054;1;Gástrica;1 650 056
OP055;3;Oftalmológica;1 330 078
OP056;1,5;Otorrinolaringológica;1 220 005
OP057;2,5;Otorrinolaringológica;1 520 065
OP058;1,5;Neurológica;3 240 029
OP059;1,5;Gástrica;1 900 087
OP060;3,5;Vascular;3 850 063
OP061;3;Neurológica;4 800 007
OP062;3,5;Ginecológica;2 230 048
OP063;2,5;Ginecológica;1 790 047
OP064;2,5;Oftalmológica;1 290 073
OP065;1,5;Dérmica; 860 003
OP066;3;Otorrinolaringológica;1 590 012
OP067;1;Coronaria;2 840 076
OP068;4;Traumatológica;3 020 087
OP069;1,5;Dérmica; 890 041
OP070;4;Urológica;2 720 036
OP071;3;Traumatológica;2 560 026
OP072;2,5;Urológica;2 070 073
OP073;3;Otorrinolaringológica;1 570 030
OP074;3;Neurológica;4 540 087
OP075;3;Coronaria;4 410 031
OP076;3,5;Traumatológica;3 010 075
OP077;3,5;Vascular;4 060 006
OP078;4;Neurológica;5 970 081
OP079;4;Oftalmológica;1 650 093
OP080;1;Neurológica;2 930 090
OP081;2,5;Dérmica;1 180 057
OP082;2,5;Coronaria;4 020 064
OP083;3,5;Neurológica;5 560 079
OP084;3;Dérmica;1 220 041
OP085;3;Traumatológica;2 500 086
OP086;4;Neurológica;5 860 025
OP087;4;Vascular;4 180 044
OP088;3;Gástrica;2 520 012
OP089;1,5;Oftalmológica;1 020 090
OP090;4;Dérmica;1 400 049
OP091;3;Vascular;3 590 057
OP092;1;Ginecológica;1 280 100
OP093;2;Otorrinolaringológica;1 490 023
OP094;1;Traumatológica;1 720 043
OP095;2;Neurológica;3 770 094
OP096;1,5;Coronaria;3 420 046
OP097;1,5;Ginecológica;1 520 033
OP098;1;Traumatológica;1 680 047
OP099;3,5;Otorrinolaringológica;1 880 042
OP100;4;Traumatológica;2 960 046
